19.60,7.70,20.88,0.57,55.74,1.69,1.00,0.65,4.97,13.10,5.00,0.53,55.727093,5.566745
22.54,7.00,28.84,0.34,129.24,1.52,0.88,0.56,12.31,27.73,0.00,0.25,51.689903,2.556417
21.56,8.40,35.34,0.22,47.77,1.86,0.60,0.48,6.73,15.75,4.00,0.21,58.976620,6.581722
17.64,11.20,29.16,0.26,34.30,1.73,0.56,0.33,5.84,11.30,2.00,0.28,63.636452,5.435019
13.72,6.30,19.16,0.47,43.49,1.58,1.00,0.81,7.68,15.70,5.00,0.46,59.650768,5.903812
8.82,7.00,14.92,0.50,11.02,1.81,0.30,0.18,3.02,5.10,1.00,0.50,92.028976,16.436657
20.09,11.20,34.63,0.21,36.75,1.72,0.62,0.22,6.90,14.08,5.00,0.21,62.747211,6.218862
11.76,7.00,17.35,0.49,18.99,1.55,0.50,0.50,4.95,8.73,3.00,0.46,73.861267,4.788934
102.90,25.20,126.65,0.08,521.24,1.59,0.90,0.13,63.17,108.37,-7.00,0.06,134.618652,178.761627
59.29,12.60,46.19,0.35,346.06,1.49,1.00,0.84,29.10,70.83,13.00,0.34,38.574127,27.610634
2.45,2.10,5.47,1.03,13.47,1.06,1.00,0.51,2.68,5.25,1.00,0.49,100.932259,22.489777
87.71,21.00,116.06,0.08,278.07,1.72,0.79,0.16,33.28,71.80,7.00,0.07,69.844078,88.999443
59.78,14.00,48.00,0.33,778.49,1.66,0.90,0.72,8.41,31.57,-3.00,0.48,12.226419,17.523911
20.58,15.40,29.39,0.30,147.61,1.56,0.89,0.19,28.44,53.03,9.00,0.09,66.107422,17.861237
23.03,7.70,39.71,0.18,34.30,1.29,1.00,0.49,10.27,17.70,6.00,0.21,59.842335,8.476767
9.80,8.40,24.95,0.20,12.25,1.73,0.58,0.15,5.97,9.95,7.00,0.20,77.397835,8.045242
24.01,9.10,26.18,0.44,37.97,1.90,0.53,0.24,7.69,13.85,5.00,0.31,66.984604,8.052804
17.15,9.10,29.64,0.25,28.79,1.93,0.54,0.27,8.49,15.57,8.00,0.33,68.718826,9.261688
4.90,9.80,11.49,0.47,12.25,1.65,0.21,0.21,5.12,8.88,6.00,0.24,98.029060,16.350138
36.75,14.70,41.11,0.27,74.72,1.94,0.48,0.26,6.24,12.13,1.00,0.38,56.577545,14.686231
6.86,4.90,17.28,0.29,12.25,1.34,1.00,0.51,5.43,8.97,5.00,0.29,75.666710,8.083522
10.78,6.30,16.57,0.49,25.11,1.53,0.67,0.40,3.61,7.25,1.00,0.65,72.906731,5.791152
7.35,4.20,14.86,0.42,14.70,1.31,1.00,0.60,3.49,6.13,1.00,0.57,76.222748,10.722815
11.76,4.90,20.10,0.37,22.66,1.55,0.90,0.36,7.34,12.63,5.00,0.25,70.001480,4.147116
32.83,10.50,37.22,0.30,64.92,1.74,0.73,0.24,9.43,17.83,2.00,0.32,51.760941,4.973061
8.33,5.60,14.14,0.52,17.15,1.50,0.67,0.40,2.68,5.48,1.00,0.47,76.776306,5.312436
14.21,9.80,27.99,0.23,25.73,1.70,0.67,0.24,5.06,11.95,8.00,0.22,67.868141,5.378980
21.56,16.80,34.08,0.23,61.86,1.46,0.85,0.21,14.77,25.55,5.00,0.15,59.498707,9.142871
13.72,8.40,15.63,0.71,74.72,1.50,0.94,0.78,11.95,23.28,4.00,0.24,60.903992,4.658512
8.33,6.30,19.00,0.29,23.28,1.82,0.62,0.41,7.01,12.42,4.00,0.28,72.553291,5.720881
2.94,2.80,6.96,0.76,15.92,1.26,0.50,0.42,1.92,4.37,1.00,0.68,98.907753,16.066586
26.46,10.50,43.63,0.17,70.44,1.63,0.73,0.73,13.19,28.30,11.00,0.21,48.609295,6.036763
7.84,13.30,18.93,0.27,42.26,1.38,0.64,0.16,14.37,25.70,15.00,0.13,82.179169,10.227624
4.90,2.80,8.12,0.93,12.25,1.30,0.67,0.60,3.08,5.67,2.00,0.62,89.417427,12.524679
13.23,7.70,19.23,0.45,16.54,1.79,0.45,0.16,3.33,5.72,1.00,0.45,80.498962,10.803434
17.15,11.90,19.45,0.57,50.22,1.94,0.25,0.25,4.44,10.00,1.00,0.29,83.787910,18.546209
5.88,3.50,11.65,0.54,18.38,1.43,0.86,0.51,3.72,6.55,1.00,0.64,78.082245,8.409232
14.21,9.80,17.12,0.61,44.10,1.56,0.57,0.38,8.52,17.47,7.00,0.38,68.894272,2.450886
24.99,9.10,25.25,0.49,185.59,1.48,0.73,0.68,8.74,22.22,0.00,0.61,48.520306,2.969027
4.90,3.50,10.16,0.60,13.47,1.33,0.83,0.60,3.66,6.97,3.00,0.79,82.680847,12.140154
3.43,7.00,7.90,0.69,30.62,1.31,0.55,0.55,7.48,13.95,4.00,0.31,84.988853,7.094313
25.97,18.20,35.02,0.27,103.51,1.57,0.73,0.27,9.32,20.68,-1.00,0.24,52.263153,8.367298
17.15,6.30,23.69,0.38,30.01,1.70,0.55,0.32,6.14,10.13,0.00,0.41,69.470474,5.308592
19.11,7.70,22.20,0.49,187.43,1.55,0.65,0.56,9.10,25.60,0.00,0.44,54.309292,1.339517
12.74,7.70,27.28,0.22,45.94,1.35,0.92,0.60,7.35,16.63,8.00,0.27,63.279472,4.801414
16.66,6.30,20.16,0.51,68.60,1.58,0.62,0.62,8.91,21.98,10.00,0.62,64.004005,3.488302
3.92,3.50,9.22,0.58,11.02,1.31,0.71,0.51,3.13,5.72,3.00,0.47,85.483704,8.373972
10.29,5.60,15.63,0.53,20.21,1.53,0.62,0.45,4.37,8.73,4.00,0.64,74.522751,5.423269
14.70,7.70,20.00,0.46,31.24,1.69,0.50,0.30,3.46,6.78,1.00,0.46,73.553284,6.751194
22.05,10.50,30.26,0.30,52.67,1.95,0.60,0.48,11.51,20.92,6.00,0.32,58.087986,7.154900
53.41,17.50,68.71,0.14,191.71,1.48,0.92,0.21,24.54,52.78,9.00,0.08,49.054127,30.744507
8.82,5.60,15.79,0.44,39.81,1.38,0.83,0.74,8.21,15.15,2.00,0.36,68.592499,4.699910
22.05,16.10,28.22,0.35,69.21,1.72,0.40,0.14,11.26,21.42,4.00,0.22,69.931023,12.079179
14.70,7.00,22.04,0.38,24.50,1.61,0.80,0.54,5.99,10.27,2.00,0.39,61.716457,2.231874
5.39,3.50,9.22,0.80,11.02,1.32,0.67,0.60,2.04,4.00,2.00,0.65,86.850395,11.597686
63.70,12.60,70.85,0.16,604.54,1.72,0.95,0.72,16.73,49.60,0.00,0.39,16.814457,27.327414
9.31,5.60,13.76,0.62,17.76,1.65,0.56,0.56,3.39,7.07,3.00,0.58,75.541321,6.627069
3.43,6.30,7.35,0.80,27.56,1.57,0.46,0.46,8.48,14.50,4.00,0.26,86.373932,7.477036
11.76,9.80,23.85,0.26,41.65,1.74,0.25,0.22,5.47,11.52,2.00,0.33,84.031235,14.453148
24.99,7.70,22.27,0.63,74.72,1.68,0.62,0.62,4.81,12.08,1.00,0.65,58.047829,5.039104
9.80,5.60,17.12,0.42,31.24,1.76,0.50,0.45,4.30,9.43,2.00,0.39,75.553635,6.898156
6.86,4.20,10.55,0.77,12.86,1.38,0.67,0.60,1.78,3.95,1.00,0.77,83.895424,12.116943
20.58,7.00,31.04,0.27,75.95,1.71,0.77,0.55,9.21,21.67,10.00,0.53,54.241322,3.177221
10.29,5.60,14.69,0.60,22.66,1.47,1.00,0.45,5.24,9.90,4.00,0.41,71.166183,5.987509
3.43,4.20,8.84,0.55,34.30,1.26,0.82,0.82,10.43,21.10,13.00,0.25,83.463188,10.228406
8.33,5.60,14.31,0.51,30.62,1.83,0.46,0.41,4.28,9.20,1.00,0.32,80.367714,9.289351
17.64,7.00,17.35,0.74,63.70,1.50,0.58,0.58,7.83,15.98,3.00,0.77,67.887779,6.688550
8.82,4.20,11.33,0.86,15.92,1.49,0.67,0.67,2.38,4.37,1.00,0.86,81.526550,13.587403
14.21,5.60,20.71,0.42,21.44,1.48,0.62,0.45,4.51,7.85,1.00,0.49,70.720253,4.188335
1.47,2.80,4.14,1.08,8.57,1.10,0.80,0.71,2.17,4.00,2.00,0.61,99.517998,20.856312
4.41,2.80,8.67,0.74,9.19,1.29,0.80,0.71,2.19,4.65,3.00,0.66,85.506058,12.744048
11.27,5.60,18.22,0.43,31.24,1.83,0.64,0.32,3.92,8.68,2.00,0.42,72.988197,6.936347
7.35,4.90,12.43,0.60,19.60,1.51,0.62,0.45,2.90,5.77,1.00,0.71,79.705597,8.440912
13.72,10.50,20.55,0.41,26.34,1.87,0.47,0.36,6.02,10.60,3.00,0.35,71.948463,8.635674
3.92,4.90,7.35,0.91,14.09,1.35,0.88,0.67,4.62,9.43,7.00,0.34,82.357262,9.043426
11.27,4.90,17.90,0.44,28.79,1.71,0.60,0.36,3.52,8.78,4.00,0.55,74.147202,6.162180
15.19,8.40,22.75,0.37,38.59,1.71,0.57,0.38,4.67,11.90,6.00,0.31,67.431442,3.934510
18.62,7.70,19.07,0.64,101.67,1.51,0.73,0.73,4.16,12.17,0.00,0.52,58.355721,3.780542
10.78,6.30,17.90,0.42,25.11,1.55,0.64,0.32,4.05,7.25,-1.00,0.46,73.728386,5.069016
88.20,15.40,120.33,0.08,189.26,1.61,0.95,0.16,22.70,43.10,-1.00,0.17,59.112984,74.298370
3.43,2.80,7.51,0.76,12.25,1.24,0.67,0.60,2.19,4.83,2.00,0.56,90.964813,12.475957
1.96,2.80,6.18,0.64,14.09,1.20,1.00,0.45,4.25,7.43,3.00,0.43,91.221870,14.241123
28.42,9.80,44.41,0.18,277.46,1.65,0.88,0.70,21.65,54.62,7.00,0.30,40.575672,11.476357
13.72,6.30,19.23,0.47,23.89,1.76,0.60,0.54,4.55,8.78,3.00,0.44,67.997772,4.763332
3.92,7.70,11.42,0.38,26.34,1.78,0.29,0.26,6.39,10.68,1.00,0.39,91.913361,14.527678
2.94,3.50,8.61,0.50,12.86,1.35,0.86,0.51,5.19,8.83,5.00,0.36,82.927788,7.336397
3.92,3.50,9.94,0.50,11.64,1.15,1.00,0.71,4.02,7.30,4.00,0.39,85.838051,14.433224
16.66,7.00,28.93,0.25,33.69,1.57,0.91,0.32,8.02,14.27,4.00,0.29,61.786419,3.753437
20.09,25.20,32.59,0.24,140.88,1.57,0.24,0.19,14.66,37.80,9.00,0.13,81.465660,30.040089
13.72,5.60,18.45,0.51,37.36,1.71,0.70,0.54,4.49,10.73,3.00,0.34,66.357170,3.327724
28.42,8.40,33.30,0.32,68.60,1.60,0.73,0.48,7.41,18.03,5.00,0.26,52.129696,1.570675
40.18,11.90,48.55,0.21,90.65,1.68,0.76,0.21,12.18,23.23,4.00,0.21,47.554905,8.373981
30.38,11.20,44.18,0.20,55.74,1.62,0.69,0.22,9.17,17.00,1.00,0.25,53.849899,6.554547
29.89,16.80,44.02,0.19,47.77,1.78,0.23,0.21,9.59,18.47,8.00,0.18,73.203018,21.381748
1.96,4.20,5.86,0.72,9.19,1.46,0.43,0.43,2.98,5.53,3.00,0.49,94.541023,11.455297
13.23,6.30,20.33,0.40,27.56,1.58,0.90,0.71,6.27,11.38,3.00,0.34,61.567528,3.727702
12.25,9.80,26.57,0.22,18.99,1.92,0.36,0.36,6.24,10.42,3.00,0.23,77.804817,13.475082
2.45,4.20,6.02,0.85,9.80,1.29,0.86,0.77,4.81,7.85,5.00,0.38,85.202164,11.004928
7.35,3.50,12.04,0.64,11.64,1.35,1.00,0.71,2.81,5.25,2.00,0.68,77.959122,12.978739
7.84,7.00,14.86,0.45,31.24,1.45,0.80,0.36,6.07,11.43,2.00,0.41,72.243813,3.597384
